point_id,session_id,pc1,pc2,cluster,anomaly_score,is_anomaly
4,TPMS-CLEAN-CHECK-20260923-025327,-4.1741587046653486,-1.4433053091146546,0,0.08407054650254775,True
17,TPMS-MATURE-V2-20260923-023744,-3.1633398913367077,-0.9807925008042749,0,0.016792284254137146,True
8,TPMS-EPISODE-SMOKE-20260923-040249,-0.7977614038944215,0.8160155784292186,0,0.0017769684378478035,True
15,TPMS-MATURE-FINAL-20260923-031138,-2.2210398816215045,-1.3457279723644926,0,-0.02021862512628525,False
13,TPMS-LIVE-EPISODE-V1-20260924-233453,-2.54233056699166,-0.5251210639439357,0,-0.020346396278356604,False
9,TPMS-EVENTS-V1-20260923-012705,0.061679234478318426,-1.689205838002115,0,-0.022992004140023004,False
2,TPMS-AGEING-V1-20260923-013845,0.47592747258782897,-1.7757898065305129,0,-0.023198048031302654,False
7,TPMS-ENGINE-SMOKE-20260923-034910,-1.7856328286969905,0.20125004308194103,0,-0.03906022949940635,False
11,TPMS-HYST-CLEAN-V1-20260923-020243,-0.03759834636250523,-1.1373288181128574,0,-0.04957393794148057,False
12,TPMS-HYST-V1-20260923-015519,-1.1586734622312933,-1.0894866843901785,0,-0.05922106521159465,False
16,TPMS-MATURE-HYST-V1-20260923-021943,-1.0221714549554857,-0.5378372489677234,0,-0.0667765235875259,False
1,TPMS-AGE-LOSS-V1-20260923-015119,4.277576495149996,-1.382550715793244,1,0.06288442423942975,True
20,TPMS-TRACK-SHIFT-V1-20260923-011326,3.2956530344081285,-0.37363315819283877,1,0.006638607715444,True
3,TPMS-AGEING-V1-20260923-014553,3.210272884533974,-0.9191405160742818,1,-0.001966723016925187,False
5,TPMS-DECORR-FBA-20260924-235553,0.2916795216334912,0.6439921521799802,1,-0.011702075403356216,False
18,TPMS-POSTREBOOT-CHECK-20260923-030738,2.904869365536013,0.9155170354558837,1,-0.016455894882506372,False
21,TPMS-TRACK-V1-20260923-010932,2.457955555941564,0.4061087086507769,1,-0.04863253649121041,False
19,TPMS-QUALITY-V1B-20260923-010308,2.187207399381264,0.05312035719715482,1,-0.05785649740746851,False
6,TPMS-DECORR-FBSS-20260924-235842,0.4604693072637101,3.51765377698569,2,0.02928839786682247,True
14,TPMS-LOS-CHECK-20260924-234946,-1.1527286232635843,3.826867342275622,2,0.020821067513609126,True
10,TPMS-GEOMETRY-CHECK-20260924-234707,-1.5678551068947895,2.819394638034841,2,0.006272079511569162,True
