,PC1,PC2,pc1_abs,pc2_abs
bearing_circular_std_deg,-0.06224383022489612,-0.42707698207273603,0.06224383022489612,0.42707698207273603
peak_power_mean_db,0.009439569101365841,-0.4839884652847988,0.009439569101365841,0.4839884652847988
peak_power_std_db,0.016035832751773615,-0.4400414973970167,0.016035832751773615,0.4400414973970167
max_confidence_mean,0.39783331940940925,-0.15113140340508158,0.39783331940940925,0.15113140340508158
median_confidence_mean,0.3975887746101931,-0.21037917064480458,0.3975887746101931,0.21037917064480458
doa_width_mean_deg,-0.40040993111283446,0.02043350681406179,0.40040993111283446,0.02043350681406179
doa_width_std_deg,-0.25319007311768416,-0.15064763652083105,0.25319007311768416,0.15064763652083105
median_doa_peaks_mean,-0.4005302248092078,-0.007068278963957564,0.4005302248092078,0.007068278963957564
bearing_spread_mean_deg,-0.34601523653601957,-0.2422740665723711,0.34601523653601957,0.2422740665723711
single_peak_ratio_mean,0.41788458368316017,0.04648389003998715,0.41788458368316017,0.04648389003998715
samples_mean,-0.01481257012694387,0.4884712134433388,0.01481257012694387,0.4884712134433388
