dropped_feature,session_id,baseline_cluster,ablation_cluster,membership_retained
max_confidence_mean,TPMS-QUALITY-V1B-20260923-010308,1,1,True
max_confidence_mean,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
max_confidence_mean,TPMS-TRACK-V1-20260923-010932,1,1,True
median_confidence_mean,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
median_confidence_mean,TPMS-AGEING-V1-20260923-013845,0,0,True
median_confidence_mean,TPMS-AGEING-V1-20260923-014553,1,1,True
median_confidence_mean,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
median_confidence_mean,TPMS-DECORR-FBA-20260924-235553,1,1,True
median_confidence_mean,TPMS-DECORR-FBSS-20260924-235842,2,2,True
median_confidence_mean,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
median_confidence_mean,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
median_confidence_mean,TPMS-EVENTS-V1-20260923-012705,0,0,True
median_confidence_mean,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
median_confidence_mean,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
median_confidence_mean,TPMS-HYST-V1-20260923-015519,0,0,True
median_confidence_mean,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
median_confidence_mean,TPMS-LOS-CHECK-20260924-234946,2,2,True
median_confidence_mean,TPMS-MATURE-FINAL-20260923-031138,0,0,True
median_confidence_mean,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
median_confidence_mean,TPMS-MATURE-V2-20260923-023744,0,0,True
median_confidence_mean,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
median_confidence_mean,TPMS-QUALITY-V1B-20260923-010308,1,1,True
median_confidence_mean,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
median_confidence_mean,TPMS-TRACK-V1-20260923-010932,1,1,True
doa_width_mean_deg,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
doa_width_mean_deg,TPMS-AGEING-V1-20260923-013845,0,0,True
doa_width_mean_deg,TPMS-AGEING-V1-20260923-014553,1,1,True
doa_width_mean_deg,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
doa_width_mean_deg,TPMS-DECORR-FBA-20260924-235553,1,1,True
doa_width_mean_deg,TPMS-DECORR-FBSS-20260924-235842,2,2,True
doa_width_mean_deg,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
doa_width_mean_deg,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
doa_width_mean_deg,TPMS-EVENTS-V1-20260923-012705,0,0,True
doa_width_mean_deg,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
doa_width_mean_deg,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
doa_width_mean_deg,TPMS-HYST-V1-20260923-015519,0,0,True
doa_width_mean_deg,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
doa_width_mean_deg,TPMS-LOS-CHECK-20260924-234946,2,2,True
doa_width_mean_deg,TPMS-MATURE-FINAL-20260923-031138,0,0,True
doa_width_mean_deg,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
doa_width_mean_deg,TPMS-MATURE-V2-20260923-023744,0,0,True
doa_width_mean_deg,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
doa_width_mean_deg,TPMS-QUALITY-V1B-20260923-010308,1,1,True
doa_width_mean_deg,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
doa_width_mean_deg,TPMS-TRACK-V1-20260923-010932,1,1,True
doa_width_std_deg,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
doa_width_std_deg,TPMS-AGEING-V1-20260923-013845,0,0,True
doa_width_std_deg,TPMS-AGEING-V1-20260923-014553,1,1,True
doa_width_std_deg,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
doa_width_std_deg,TPMS-DECORR-FBA-20260924-235553,1,1,True
doa_width_std_deg,TPMS-DECORR-FBSS-20260924-235842,2,2,True
doa_width_std_deg,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
doa_width_std_deg,TPMS-EPISODE-SMOKE-20260923-040249,0,2,False
doa_width_std_deg,TPMS-EVENTS-V1-20260923-012705,0,0,True
doa_width_std_deg,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
doa_width_std_deg,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
doa_width_std_deg,TPMS-HYST-V1-20260923-015519,0,0,True
doa_width_std_deg,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
doa_width_std_deg,TPMS-LOS-CHECK-20260924-234946,2,2,True
doa_width_std_deg,TPMS-MATURE-FINAL-20260923-031138,0,0,True
doa_width_std_deg,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
doa_width_std_deg,TPMS-MATURE-V2-20260923-023744,0,0,True
doa_width_std_deg,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
doa_width_std_deg,TPMS-QUALITY-V1B-20260923-010308,1,1,True
doa_width_std_deg,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
doa_width_std_deg,TPMS-TRACK-V1-20260923-010932,1,1,True
median_doa_peaks_mean,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
median_doa_peaks_mean,TPMS-AGEING-V1-20260923-013845,0,0,True
median_doa_peaks_mean,TPMS-AGEING-V1-20260923-014553,1,1,True
median_doa_peaks_mean,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
median_doa_peaks_mean,TPMS-DECORR-FBA-20260924-235553,1,1,True
median_doa_peaks_mean,TPMS-DECORR-FBSS-20260924-235842,2,2,True
median_doa_peaks_mean,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
median_doa_peaks_mean,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
median_doa_peaks_mean,TPMS-EVENTS-V1-20260923-012705,0,0,True
median_doa_peaks_mean,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
median_doa_peaks_mean,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
median_doa_peaks_mean,TPMS-HYST-V1-20260923-015519,0,0,True
median_doa_peaks_mean,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
median_doa_peaks_mean,TPMS-LOS-CHECK-20260924-234946,2,2,True
median_doa_peaks_mean,TPMS-MATURE-FINAL-20260923-031138,0,0,True
median_doa_peaks_mean,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
median_doa_peaks_mean,TPMS-MATURE-V2-20260923-023744,0,0,True
median_doa_peaks_mean,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
median_doa_peaks_mean,TPMS-QUALITY-V1B-20260923-010308,1,1,True
median_doa_peaks_mean,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
median_doa_peaks_mean,TPMS-TRACK-V1-20260923-010932,1,1,True
bearing_spread_mean_deg,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
bearing_spread_mean_deg,TPMS-AGEING-V1-20260923-013845,0,0,True
bearing_spread_mean_deg,TPMS-AGEING-V1-20260923-014553,1,1,True
bearing_spread_mean_deg,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
bearing_spread_mean_deg,TPMS-DECORR-FBA-20260924-235553,1,1,True
bearing_spread_mean_deg,TPMS-DECORR-FBSS-20260924-235842,2,2,True
bearing_spread_mean_deg,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
bearing_spread_mean_deg,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
bearing_spread_mean_deg,TPMS-EVENTS-V1-20260923-012705,0,0,True
bearing_spread_mean_deg,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
bearing_spread_mean_deg,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
bearing_spread_mean_deg,TPMS-HYST-V1-20260923-015519,0,0,True
bearing_spread_mean_deg,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
bearing_spread_mean_deg,TPMS-LOS-CHECK-20260924-234946,2,2,True
bearing_spread_mean_deg,TPMS-MATURE-FINAL-20260923-031138,0,0,True
bearing_spread_mean_deg,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
bearing_spread_mean_deg,TPMS-MATURE-V2-20260923-023744,0,0,True
bearing_spread_mean_deg,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
bearing_spread_mean_deg,TPMS-QUALITY-V1B-20260923-010308,1,1,True
bearing_spread_mean_deg,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
bearing_spread_mean_deg,TPMS-TRACK-V1-20260923-010932,1,1,True
single_peak_ratio_mean,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
single_peak_ratio_mean,TPMS-AGEING-V1-20260923-013845,0,0,True
single_peak_ratio_mean,TPMS-AGEING-V1-20260923-014553,1,1,True
single_peak_ratio_mean,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
single_peak_ratio_mean,TPMS-DECORR-FBA-20260924-235553,1,1,True
single_peak_ratio_mean,TPMS-DECORR-FBSS-20260924-235842,2,2,True
single_peak_ratio_mean,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
single_peak_ratio_mean,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
single_peak_ratio_mean,TPMS-EVENTS-V1-20260923-012705,0,0,True
single_peak_ratio_mean,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
single_peak_ratio_mean,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
single_peak_ratio_mean,TPMS-HYST-V1-20260923-015519,0,0,True
single_peak_ratio_mean,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
single_peak_ratio_mean,TPMS-LOS-CHECK-20260924-234946,2,2,True
single_peak_ratio_mean,TPMS-MATURE-FINAL-20260923-031138,0,0,True
single_peak_ratio_mean,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
single_peak_ratio_mean,TPMS-MATURE-V2-20260923-023744,0,0,True
single_peak_ratio_mean,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
single_peak_ratio_mean,TPMS-QUALITY-V1B-20260923-010308,1,1,True
single_peak_ratio_mean,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
single_peak_ratio_mean,TPMS-TRACK-V1-20260923-010932,1,1,True
samples_mean,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
samples_mean,TPMS-AGEING-V1-20260923-013845,0,0,True
samples_mean,TPMS-AGEING-V1-20260923-014553,1,1,True
samples_mean,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
samples_mean,TPMS-DECORR-FBA-20260924-235553,1,2,False
samples_mean,TPMS-DECORR-FBSS-20260924-235842,2,2,True
samples_mean,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
samples_mean,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
samples_mean,TPMS-EVENTS-V1-20260923-012705,0,0,True
samples_mean,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
samples_mean,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
samples_mean,TPMS-HYST-V1-20260923-015519,0,0,True
samples_mean,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
samples_mean,TPMS-LOS-CHECK-20260924-234946,2,2,True
samples_mean,TPMS-MATURE-FINAL-20260923-031138,0,0,True
samples_mean,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
samples_mean,TPMS-MATURE-V2-20260923-023744,0,0,True
samples_mean,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
samples_mean,TPMS-QUALITY-V1B-20260923-010308,1,1,True
samples_mean,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
samples_mean,TPMS-TRACK-V1-20260923-010932,1,1,True
