point_id,session_id,pc1,pc2,cluster,anomaly_score,is_anomaly
4,TPMS-CLEAN-CHECK-20260923-025327,-4.196768431740251,1.9523725038459747,0,0.07042102569909425,True
6,TPMS-DECORR-FBSS-20260924-235842,-0.6376737723983276,-3.7426339551500436,0,0.034534931961405335,True
14,TPMS-LOS-CHECK-20260924-234946,-2.0389289157169372,-3.7161083771986174,0,0.016709425446156945,True
10,TPMS-GEOMETRY-CHECK-20260924-234707,-2.3152086388241693,-2.669551189057736,0,0.008696731533204605,True
17,TPMS-MATURE-V2-20260923-023744,-3.36535879334312,1.3117753450321943,0,0.007954154823240245,True
8,TPMS-EPISODE-SMOKE-20260923-040249,-1.0702598273157058,-0.7148714997576194,0,-0.002429133683642115,False
15,TPMS-MATURE-FINAL-20260923-031138,-1.888773853004027,1.7005474240768632,0,-0.003921392974255478,False
5,TPMS-DECORR-FBA-20260924-235553,-0.561473120575281,-0.960926564869061,0,-0.006425732487012059,False
2,TPMS-AGEING-V1-20260923-013845,0.6548445301965402,1.6492322607674261,0,-0.0156785156857967,False
13,TPMS-LIVE-EPISODE-V1-20260924-233453,-2.8093103390110485,0.7780450696756903,0,-0.016825462152764148,False
9,TPMS-EVENTS-V1-20260923-012705,0.21526481898977212,1.6273120094360285,0,-0.021869174085223264,False
11,TPMS-HYST-CLEAN-V1-20260923-020243,0.40187192784377396,1.2301678042787874,0,-0.024537687992111312,False
7,TPMS-ENGINE-SMOKE-20260923-034910,-1.9382187753161015,0.03618710952178112,0,-0.03760960785875006,False
12,TPMS-HYST-V1-20260923-015519,-1.2613396575635882,1.1536900693023169,0,-0.05785819054043628,False
16,TPMS-MATURE-HYST-V1-20260923-021943,-1.2407437679044733,0.5834965491299126,0,-0.06167506249200355,False
1,TPMS-AGE-LOSS-V1-20260923-015119,4.820609138219677,0.8367761813336553,1,0.06032228677855922,True
20,TPMS-TRACK-SHIFT-V1-20260923-011326,3.8310409491586075,0.052614980849147744,1,0.029850828997105117,True
3,TPMS-AGEING-V1-20260923-014553,3.875604783568738,0.6142376527802048,1,0.009198296316670906,True
18,TPMS-POSTREBOOT-CHECK-20260923-030738,3.4593947571635604,-1.1023508028516216,1,-0.005095308312571434,False
21,TPMS-TRACK-V1-20260923-010932,3.1360495247008737,-0.5042666100800325,1,-0.03147103710322918,False
19,TPMS-QUALITY-V1B-20260923-010308,2.9293774628714884,-0.1157459610652534,1,-0.034583247283481666,False
