capture_id,episode,fragment_count,usable_fragment_count,component_count,eligible_component_count,track_count,persistent_track_count,status,primary_track_id,primary_support_count,primary_coverage,primary_median_hz,primary_minimum_hz,primary_maximum_hz,primary_range_hz,primary_mad_hz,primary_median_contrast_db,primary_minimum_contrast_db,primary_median_width_hz,v1_median_hz,v1_spread_hz,primary_minus_v1_hz,flags
PIPELINE-TPMS-004-20260917-233423,1,5,5,292,290,249,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5187.448503158473,10758.83456925753,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-004-20260917-233423,2,5,5,286,284,191,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5193.170374439256,39.48091183740689,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-004-20260917-233423,3,5,5,204,201,174,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5206.902865513137,33.186853428544964,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-004-20260917-233423,4,5,5,332,328,291,1,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5204.614117000823,50.35246727089634,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-004-20260917-233423,5,6,6,153,148,137,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5202.325368488509,37.76435045317248,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-004-20260917-233423,6,4,4,225,224,213,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5214.627391742195,3819.921267051176,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
