arm_id,representation,width_hz,association,state,metrics,failure
grid_sigma0__w350__paths_margin0,grid_sigma0,350,paths_margin0,NOT_RUN,null,null
grid_sigma0__w350__paths_margin0.25,grid_sigma0,350,paths_margin0.25,NOT_RUN,null,null
grid_sigma0__w350__paths_margin1,grid_sigma0,350,paths_margin1,NOT_RUN,null,null
grid_sigma0__wunlimited__connected,grid_sigma0,,connected,NOT_RUN,null,null
grid_sigma0__wunlimited__paths_margin0,grid_sigma0,,paths_margin0,NOT_RUN,null,null
grid_sigma0__wunlimited__paths_margin0.25,grid_sigma0,,paths_margin0.25,NOT_RUN,null,null
grid_sigma0__wunlimited__paths_margin1,grid_sigma0,,paths_margin1,NOT_RUN,null,null
grid_sigma5__w200__connected,grid_sigma5,200,connected,NOT_RUN,null,null
grid_sigma5__w200__paths_margin0,grid_sigma5,200,paths_margin0,NOT_RUN,null,null
grid_sigma5__w200__paths_margin0.25,grid_sigma5,200,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__w200__paths_margin1,grid_sigma5,200,paths_margin1,NOT_RUN,null,null
grid_sigma5__w225__connected,grid_sigma5,225,connected,NOT_RUN,null,null
grid_sigma5__w225__paths_margin0,grid_sigma5,225,paths_margin0,NOT_RUN,null,null
grid_sigma5__w225__paths_margin0.25,grid_sigma5,225,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__w225__paths_margin1,grid_sigma5,225,paths_margin1,NOT_RUN,null,null
grid_sigma5__w250__connected,grid_sigma5,250,connected,NOT_RUN,null,null
grid_sigma5__w250__paths_margin0,grid_sigma5,250,paths_margin0,NOT_RUN,null,null
grid_sigma5__w250__paths_margin0.25,grid_sigma5,250,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__w250__paths_margin1,grid_sigma5,250,paths_margin1,NOT_RUN,null,null
grid_sigma5__w275__connected,grid_sigma5,275,connected,NOT_RUN,null,null
grid_sigma5__w275__paths_margin0,grid_sigma5,275,paths_margin0,NOT_RUN,null,null
grid_sigma5__w275__paths_margin0.25,grid_sigma5,275,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__w275__paths_margin1,grid_sigma5,275,paths_margin1,NOT_RUN,null,null
grid_sigma5__w300__connected,grid_sigma5,300,connected,NOT_RUN,null,null
grid_sigma5__w300__paths_margin0,grid_sigma5,300,paths_margin0,NOT_RUN,null,null
grid_sigma5__w300__paths_margin0.25,grid_sigma5,300,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__w300__paths_margin1,grid_sigma5,300,paths_margin1,NOT_RUN,null,null
grid_sigma5__w325__connected,grid_sigma5,325,connected,NOT_RUN,null,null
grid_sigma5__w325__paths_margin0,grid_sigma5,325,paths_margin0,NOT_RUN,null,null
grid_sigma5__w325__paths_margin0.25,grid_sigma5,325,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__w325__paths_margin1,grid_sigma5,325,paths_margin1,NOT_RUN,null,null
grid_sigma5__w350__connected,grid_sigma5,350,connected,NOT_RUN,null,null
grid_sigma5__w350__paths_margin0,grid_sigma5,350,paths_margin0,NOT_RUN,null,null
grid_sigma5__w350__paths_margin0.25,grid_sigma5,350,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__w350__paths_margin1,grid_sigma5,350,paths_margin1,NOT_RUN,null,null
grid_sigma5__wunlimited__connected,grid_sigma5,,connected,NOT_RUN,null,null
grid_sigma5__wunlimited__paths_margin0,grid_sigma5,,paths_margin0,NOT_RUN,null,null
grid_sigma5__wunlimited__paths_margin0.25,grid_sigma5,,paths_margin0.25,NOT_RUN,null,null
grid_sigma5__wunlimited__paths_margin1,grid_sigma5,,paths_margin1,NOT_RUN,null,null
grid_sigma10__w200__connected,grid_sigma10,200,connected,NOT_RUN,null,null
grid_sigma10__w200__paths_margin0,grid_sigma10,200,paths_margin0,NOT_RUN,null,null
grid_sigma10__w200__paths_margin0.25,grid_sigma10,200,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__w200__paths_margin1,grid_sigma10,200,paths_margin1,NOT_RUN,null,null
grid_sigma10__w225__connected,grid_sigma10,225,connected,NOT_RUN,null,null
grid_sigma10__w225__paths_margin0,grid_sigma10,225,paths_margin0,NOT_RUN,null,null
grid_sigma10__w225__paths_margin0.25,grid_sigma10,225,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__w225__paths_margin1,grid_sigma10,225,paths_margin1,NOT_RUN,null,null
grid_sigma10__w250__connected,grid_sigma10,250,connected,NOT_RUN,null,null
grid_sigma10__w250__paths_margin0,grid_sigma10,250,paths_margin0,NOT_RUN,null,null
grid_sigma10__w250__paths_margin0.25,grid_sigma10,250,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__w250__paths_margin1,grid_sigma10,250,paths_margin1,NOT_RUN,null,null
grid_sigma10__w275__connected,grid_sigma10,275,connected,NOT_RUN,null,null
grid_sigma10__w275__paths_margin0,grid_sigma10,275,paths_margin0,NOT_RUN,null,null
grid_sigma10__w275__paths_margin0.25,grid_sigma10,275,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__w275__paths_margin1,grid_sigma10,275,paths_margin1,NOT_RUN,null,null
grid_sigma10__w300__connected,grid_sigma10,300,connected,NOT_RUN,null,null
grid_sigma10__w300__paths_margin0,grid_sigma10,300,paths_margin0,NOT_RUN,null,null
grid_sigma10__w300__paths_margin0.25,grid_sigma10,300,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__w300__paths_margin1,grid_sigma10,300,paths_margin1,NOT_RUN,null,null
grid_sigma10__w325__connected,grid_sigma10,325,connected,NOT_RUN,null,null
grid_sigma10__w325__paths_margin0,grid_sigma10,325,paths_margin0,NOT_RUN,null,null
grid_sigma10__w325__paths_margin0.25,grid_sigma10,325,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__w325__paths_margin1,grid_sigma10,325,paths_margin1,NOT_RUN,null,null
grid_sigma10__w350__connected,grid_sigma10,350,connected,NOT_RUN,null,null
grid_sigma10__w350__paths_margin0,grid_sigma10,350,paths_margin0,NOT_RUN,null,null
grid_sigma10__w350__paths_margin0.25,grid_sigma10,350,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__w350__paths_margin1,grid_sigma10,350,paths_margin1,NOT_RUN,null,null
