capture_id,episode,fragment_count,usable_fragment_count,component_count,eligible_component_count,track_count,persistent_track_count,status,primary_track_id,primary_support_count,primary_coverage,primary_median_hz,primary_minimum_hz,primary_maximum_hz,primary_range_hz,primary_mad_hz,primary_median_contrast_db,primary_minimum_contrast_db,primary_median_width_hz,v1_median_hz,v1_spread_hz,primary_minus_v1_hz,flags
BETWEEN-DEVICE-V1-20260919-022917,1,6,6,137,133,96,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5420.900851414446,54.92996429552386,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
BETWEEN-DEVICE-V1-20260919-022917,2,6,6,160,155,114,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5415.178980133663,13.732491073880738,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
BETWEEN-DEVICE-V1-20260919-022917,3,5,5,198,194,193,0,INSUFFICIENT_SUPPORT,,,,,,,,,,,,-5419.756477158289,12.588116817723858,,LOW_COVERAGE;NO_PRIMARY_TRACK
BETWEEN-DEVICE-V1-20260919-022917,4,5,5,267,264,244,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5415.178980133663,50.35246727089634,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
BETWEEN-DEVICE-V1-20260919-022917,5,6,6,168,164,144,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5420.328664286368,27.464982147761475,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
BETWEEN-DEVICE-V1-20260919-022917,6,5,5,228,226,199,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5422.045225670603,5687.540053098965,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
BETWEEN-DEVICE-V1-20260919-022917,7,5,5,241,238,214,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5406.0239860844085,38.90872470932845,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
