filename,sha256,pass,offset_hz,samples,endpoint_clipped_values,clipped_fraction,measured_offset_hz,frequency_error_hz,tone_power_db_adc2,frequency_within_tolerance,mean_power_db_adc2,relative_response_db,between_pass_difference_db,clipping_ok,frequency_ok,response_ok,repeat_difference_ok,numerical_rules_pass,reference_power_db_adc2,controlled_amplitude_repeatability_established
pass2_minus900k.cs8,56854f5d7f885cb236bea1cd430846849882d5baada0aa030e126e1b679c20e1,2,-900000,4000000,8,1e-06,-900260.9252929688,-260.92529296875,22.183295411428716,True,23.7594129429673,3.8357637471687624,3.152235063077171,False,True,True,False,False,19.92364919579854,False
pass2_minus800k.cs8,bbf01aca2bcef02a9415cd17a93783a875e60c887744fbf997bbdabe9629e7ae,2,-800000,4000000,0,0.0,-800254.8217773438,-254.82177734375,29.069174292270628,True,27.13565209117364,7.2120028953751,3.8670444021939794,True,True,True,False,False,19.92364919579854,False
pass2_minus700k.cs8,c58d20f64c517f303e8f00cedcdf9f6314ff586724d110c811caa9c328900d31,2,-700000,4000000,0,0.0,-700218.2006835938,-218.20068359375,25.757977456309064,True,27.200870644176966,7.277221448378427,2.885786375735808,True,True,True,False,False,19.92364919579854,False
pass2_minus600k.cs8,ad3c88926496db1db5611b094a6ab9c3623e5232d3f0ff0f5258432ae07507ff,2,-600000,4000000,0,0.0,-600257.8735351562,-257.87353515625,24.3962070860275,True,26.35382024196805,6.430171046169512,3.915226311881103,True,True,True,False,False,19.92364919579854,False
pass2_minus500k.cs8,9295b2c6cc433dfe1c0b3bf78eabaf9867f10879b18735a43826b855dd8051a9,2,-500000,4000000,0,0.0,-500251.77001953125,-251.77001953125,20.668690944993237,True,24.79545752807725,4.871808332278711,8.25353316616803,True,True,True,False,False,19.92364919579854,False
pass2_minus400k.cs8,52d6b6304efed815a1ed3f4c7b3bd83e14f90e92364b04b457897340a0125ea2,2,-400000,4000000,0,0.0,-400215.14892578125,-215.14892578125,21.12039990828254,True,25.105461829933333,5.181812634134793,7.9701238433015895,True,True,True,False,False,19.92364919579854,False
pass2_minus300k.cs8,83961330fbee39a16bedeb2f0e0cf1b2fac59a9603d725ccd4e362740a2accbb,2,-300000,4000000,0,0.0,-300262.451171875,-262.451171875,18.894672267324133,True,22.590821859634925,2.6671726638363857,7.392299184621585,True,True,True,False,False,19.92364919579854,False
pass2_minus200k.cs8,e7b9dce4effbdd8694902fef1022db4cd9f4a1a3383d84700d6bfa60afbaaa67,2,-200000,4000000,0,0.0,-200248.71826171875,-248.71826171875,21.675143486692413,True,22.671568609430906,2.747919413632367,1.9928502454769905,True,True,True,False,False,19.92364919579854,False
pass2_minus100k.cs8,e32175a730912ca2ac8ebf5f150bd3dbc66faf2ca50f73e44e604ed9ecfb032e,2,-100000,4000000,0,0.0,-100212.09716796875,-212.09716796875,18.031350967563732,True,20.786197378604722,0.862548182806183,5.5096928220819805,True,True,True,False,False,19.92364919579854,False
pass2_plus100k.cs8,3e4b9f48f0ce7347b7c2ff8796d318f1f308b53054260bb8bf65e16465a6cf9e,2,100000,4000000,0,0.0,99761.962890625,-238.037109375,17.037297322547634,True,19.061101012992353,-0.8625481828061865,4.047607380889438,True,True,True,False,False,19.92364919579854,False
pass2_plus200k.cs8,b6ece02822e5dac46a44764a62f2771142e4f1017855bb28e873bd1c7c5a637b,2,200000,4000000,0,0.0,199615.478515625,-384.521484375,17.84463666661576,True,19.371711721040175,-0.5519374747583647,3.0541501088488303,True,True,True,False,False,19.92364919579854,False
pass2_plus300k.cs8,099e54331c1fa4f65bd4665775c61c307d22dce082ff5905918d5e00fda6fe14,2,300000,4000000,0,0.0,299751.28173828125,-248.71826171875,19.76032122649127,True,19.242876044585664,-0.6807731512128754,1.0348903638112148,True,True,True,False,False,19.92364919579854,False
pass2_plus400k.cs8,1e2cbb9f507961516cb101fcf0417f1575c009759cffaf4c75b8d887821a9d5b,2,400000,4000000,0,0.0,399757.38525390625,-242.61474609375,20.07268228101763,True,18.85812576433701,-1.0655234314615285,2.4291130333612436,True,True,True,False,False,19.92364919579854,False
pass2_plus500k.cs8,8ddda6ad1d79658091c44d511df02459c4d08a65635055eee3975a5f83028994,2,500000,4000000,0,0.0,499786.376953125,-213.623046875,20.442518692450705,True,20.137111755685673,0.2134625598871338,0.6108138735300628,True,True,True,True,True,19.92364919579854,False
pass2_plus600k.cs8,1d3befef1ff4ab04d6a40719e713d90f19820431cb4bfc06f45eecf062b1e5ae,2,600000,4000000,0,0.0,599746.7041015625,-253.2958984375,18.33358015063933,True,18.21439598249618,-1.709253213302361,0.23836833628630316,True,True,True,True,True,19.92364919579854,False
pass2_plus700k.cs8,a6697b08530ecd59e2e94e8dbe9ca84476fb51104f695a0d8a7c929f396b08f8,2,700000,4000000,0,0.0,699768.06640625,-231.93359375,20.18965762496591,True,21.537063697502788,1.6134145017042485,2.694812145073751,True,True,True,False,False,19.92364919579854,False
pass2_plus800k.cs8,978956c314e452adc302893ab8c127cf176e54b92fb0ebeb977e91090e1fd546,2,800000,4000000,0,0.0,799797.0581054688,-202.94189453125,19.901369615881098,True,23.440152148972416,3.5165029531738767,7.07756506618264,True,True,True,False,False,19.92364919579854,False
pass2_plus900k.cs8,2622419788a3dc2dd2afb7a991c428e2a9871df3c501813a82ab04f3f366478c,2,900000,4000000,0,0.0,899749.755859375,-250.244140625,17.844469659244307,True,22.792497511195112,2.8688483153965727,9.89605570390161,True,True,True,False,False,19.92364919579854,False
