capture_id,episode,fragment_count,usable_fragment_count,component_count,eligible_component_count,track_count,persistent_track_count,status,primary_track_id,primary_support_count,primary_coverage,primary_median_hz,primary_minimum_hz,primary_maximum_hz,primary_range_hz,primary_mad_hz,primary_median_contrast_db,primary_minimum_contrast_db,primary_median_width_hz,v1_median_hz,v1_spread_hz,primary_minus_v1_hz,flags
PIPELINE-TPMS-005-20260917-235439,1,5,5,286,283,262,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5184.015380390002,32.042479172388994,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-005-20260917-235439,2,5,5,264,261,239,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5186.304128902316,30.325917788153674,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-005-20260917-235439,3,5,5,295,291,262,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5193.170374439256,40.05309896548533,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-005-20260917-235439,4,6,6,173,167,151,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5197.747871463884,14.876865330037617,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-005-20260917-235439,5,5,5,279,276,218,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5206.902865513137,36.6199761970156,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
