capture_id,episode,fragment_count,usable_fragment_count,component_count,eligible_component_count,track_count,persistent_track_count,status,primary_track_id,primary_support_count,primary_coverage,primary_median_hz,primary_minimum_hz,primary_maximum_hz,primary_range_hz,primary_mad_hz,primary_median_contrast_db,primary_minimum_contrast_db,primary_median_width_hz,v1_median_hz,v1_spread_hz,primary_minus_v1_hz,flags
PIPELINE-TPMS-008-20260918-003900,1,5,5,103,100,96,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5184.015380390002,27.464982147761475,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-008-20260918-003900,2,5,5,120,117,96,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5197.747871463883,13.732491073880738,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-008-20260918-003900,3,5,5,212,209,206,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5195.45912295157,21.743110866977986,,LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-008-20260918-003900,4,6,6,187,182,169,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5204.041929872745,11.443742561566978,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-008-20260918-003900,5,5,5,287,284,258,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5210.335988281607,6.866245536940369,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-008-20260918-003900,6,6,6,170,164,153,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5204.614117000823,25.176233635447716,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-008-20260918-003900,7,5,5,274,272,258,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5208.047239769294,9263.709603588757,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK
PIPELINE-TPMS-008-20260918-003900,8,2,2,227,227,69,0,AMBIGUOUS_ASSOCIATION,,,,,,,,,,,,-5218.346608074704,9.154994049254128,,COMPETING_TRACKS;LOW_COVERAGE;NO_PRIMARY_TRACK;TWO_FRAGMENTS
